Tick,Power (EU/t),Hull Heat (HU),Hull Heat (%),Total Power (EU),Exploded
8581,20.0,0.0,0.0,171620.0,False
8601,20.0,0.0,0.0,172020.0,False
8621,20.0,0.0,0.0,172420.0,False
8641,20.0,0.0,0.0,172820.0,False
8661,20.0,0.0,0.0,173220.0,False
8681,20.0,0.0,0.0,173620.0,False
8701,20.0,0.0,0.0,174020.0,False
8721,20.0,0.0,0.0,174420.0,False
8741,20.0,0.0,0.0,174820.0,False
8761,20.0,0.0,0.0,175220.0,False
8781,20.0,0.0,0.0,175620.0,False
8801,20.0,0.0,0.0,176020.0,False
8821,20.0,0.0,0.0,176420.0,False
8841,20.0,0.0,0.0,176820.0,False
8861,20.0,0.0,0.0,177220.0,False
8881,20.0,0.0,0.0,177620.0,False
8901,20.0,0.0,0.0,178020.0,False
8921,20.0,0.0,0.0,178420.0,False
8941,20.0,0.0,0.0,178820.0,False
8961,20.0,0.0,0.0,179220.0,False
8981,20.0,0.0,0.0,179620.0,False
9001,20.0,0.0,0.0,180020.0,False
9021,20.0,0.0,0.0,180420.0,False
9041,20.0,0.0,0.0,180820.0,False
9061,20.0,0.0,0.0,181220.0,False
9081,20.0,0.0,0.0,181620.0,False
9101,20.0,0.0,0.0,182020.0,False
9121,20.0,0.0,0.0,182420.0,False
9141,20.0,0.0,0.0,182820.0,False
9161,20.0,0.0,0.0,183220.0,False
9181,20.0,0.0,0.0,183620.0,False
9201,20.0,0.0,0.0,184020.0,False
9221,20.0,0.0,0.0,184420.0,False
9241,20.0,0.0,0.0,184820.0,False
9261,20.0,0.0,0.0,185220.0,False
9281,20.0,0.0,0.0,185620.0,False
9301,20.0,0.0,0.0,186020.0,False
9321,20.0,0.0,0.0,186420.0,False
9341,20.0,0.0,0.0,186820.0,False
9361,20.0,0.0,0.0,187220.0,False
9381,20.0,0.0,0.0,187620.0,False
9401,20.0,0.0,0.0,188020.0,False
9421,20.0,0.0,0.0,188420.0,False
9441,20.0,0.0,0.0,188820.0,False
9461,20.0,0.0,0.0,189220.0,False
9481,20.0,0.0,0.0,189620.0,False
9501,20.0,0.0,0.0,190020.0,False
9521,20.0,0.0,0.0,190420.0,False
9541,20.0,0.0,0.0,190820.0,False
9561,20.0,0.0,0.0,191220.0,False
9581,20.0,0.0,0.0,191620.0,False
9601,20.0,0.0,0.0,192020.0,False
9621,20.0,0.0,0.0,192420.0,False
9641,20.0,0.0,0.0,192820.0,False
9661,20.0,0.0,0.0,193220.0,False
9681,20.0,0.0,0.0,193620.0,False
9701,20.0,0.0,0.0,194020.0,False
9721,20.0,0.0,0.0,194420.0,False
9741,20.0,0.0,0.0,194820.0,False
9761,20.0,0.0,0.0,195220.0,False
9781,20.0,0.0,0.0,195620.0,False
9801,20.0,0.0,0.0,196020.0,False
9821,20.0,0.0,0.0,196420.0,False
9841,20.0,0.0,0.0,196820.0,False
9861,20.0,0.0,0.0,197220.0,False
9881,20.0,0.0,0.0,197620.0,False
9901,20.0,0.0,0.0,198020.0,False
9921,20.0,0.0,0.0,198420.0,False
9941,20.0,0.0,0.0,198820.0,False
9961,20.0,0.0,0.0,199220.0,False
9981,20.0,0.0,0.0,199620.0,False
