2026-03-30 16:00:01,322 [INFO] 创建 4 个并行环境
2026-03-30 16:00:01,322 [INFO] 创建评估环境
2026-03-30 16:00:01,322 [INFO] 创建PPO模型...
2026-03-30 16:00:01,947 [INFO] 开始训练...
2026-03-30 16:00:01,947 [INFO] 提示: 可以使用 TensorBoard 查看训练过程: tensorboard --logdir rl_logs_v2
2026-03-30 16:00:20,973 [INFO] Episode 完成: 平均功率=400.00 EU/t, 最大堆温=10043.00, 爆炸=是
2026-03-30 16:00:20,973 [INFO] Episode 完成: 平均功率=225.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:21,211 [INFO] Episode 完成: 平均功率=200.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:21,211 [INFO] Episode 完成: 平均功率=680.00 EU/t, 最大堆温=10088.00, 爆炸=是
2026-03-30 16:00:21,211 [INFO] Episode 完成: 平均功率=420.00 EU/t, 最大堆温=10022.00, 爆炸=是
2026-03-30 16:00:21,211 [INFO] Episode 完成: 平均功率=165.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:21,592 [INFO] Episode 完成: 平均功率=325.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:21,592 [INFO] Episode 完成: 平均功率=285.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:21,592 [INFO] Episode 完成: 平均功率=220.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:21,592 [INFO] Episode 完成: 平均功率=500.00 EU/t, 最大堆温=2837.00, 爆炸=否
2026-03-30 16:00:21,911 [INFO] Episode 完成: 平均功率=220.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:21,911 [INFO] Episode 完成: 平均功率=260.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:21,911 [INFO] Episode 完成: 平均功率=410.00 EU/t, 最大堆温=10046.67, 爆炸=是
2026-03-30 16:00:21,911 [INFO] Episode 完成: 平均功率=410.00 EU/t, 最大堆温=41.00, 爆炸=否
2026-03-30 16:00:22,307 [INFO] Episode 完成: 平均功率=405.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:22,307 [INFO] Episode 完成: 平均功率=390.00 EU/t, 最大堆温=0.00, 爆炸=否
